id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Velvet Underground,Slow Stereo,jazz,moody,0.45,88,0.42,0.52,0.83
12,Neon Samurai,Voltline,rock,intense,0.89,148,0.44,0.71,0.08
13,Raindrop Sonata,Clara Voss,classical,relaxed,0.22,66,0.73,0.31,0.97
14,Desert Frequency,Orbit Bloom,ambient,focused,0.31,58,0.61,0.38,0.94
15,Salsa Nights,Rio Fuego,latin,happy,0.88,142,0.92,0.95,0.11
16,Broken Clocks,Indigo Parade,indie pop,melancholic,0.55,104,0.33,0.61,0.48
17,Bass Drop Zero,Max Pulse,electronic,intense,0.96,140,0.55,0.91,0.03
18,Moonlight Raga,Sitar Collective,world,chill,0.33,74,0.68,0.44,0.91
19,Gospel Train,The Hollow Choir,gospel,uplifting,0.71,112,0.89,0.76,0.62
20,Frozen Tundra,Clara Voss,classical,melancholic,0.19,54,0.28,0.24,0.98
